scenario,task,target,model,COUNTRY_CODE,latest_observed_week,forecast_week,prediction,lower_95,upper_95,lower_80,upper_80,prob_decrease,prob_increase,prob_stable,prob_not_increase
transfer_uae,regression,target_next_INF_A,sarimax,ARE,2026-05-11,2026-05-18,199.13941031601436,128.5257452091762,269.75307542285253,153.02436371563027,245.25445691639845,,,,
transfer_uae,regression,target_next_INF_A,prophet,ARE,2026-05-11,2026-05-18,197.50223065560803,125.07646868904502,269.927992622171,150.2037738611179,244.80068745009817,,,,
transfer_uae,regression,target_next_INF_A,elastic_net,ARE,2026-05-11,2026-05-18,26.16584189007175,-40.222005058156284,92.55368883829978,-17.18948672917921,69.52117050932272,,,,
transfer_uae,regression,target_next_INF_A,random_forest,ARE,2026-05-11,2026-05-18,9.027430097680096,-28.36801446164573,46.42287465700592,-15.394084716573506,33.448944911933694,,,,
transfer_uae,regression,target_next_INF_A,xgboost,ARE,2026-05-11,2026-05-18,8.461556,-31.42319107055664,48.3463020324707,-17.58562469482422,34.50873565673828,,,,
transfer_uae,regression,target_next_INF_A,lightgbm,ARE,2026-05-11,2026-05-18,8.506721395073452,-36.246322056153645,53.25976484630054,-20.719755960829957,37.73319875097686,,,,
transfer_uae,regression,target_next_INF_B,sarimax,ARE,2026-05-11,2026-05-18,110.7254471209339,86.95658943464494,134.49430480722285,95.20292781560234,126.24796642626545,,,,
transfer_uae,regression,target_next_INF_B,prophet,ARE,2026-05-11,2026-05-18,67.01289697357907,22.850786728823827,111.17500721833431,38.172335181085856,95.8534587660723,,,,
transfer_uae,regression,target_next_INF_B,elastic_net,ARE,2026-05-11,2026-05-18,12.752893742885249,0.34622600610289567,25.1595614796676,4.65058011886412,20.855207366906377,,,,
transfer_uae,regression,target_next_INF_B,random_forest,ARE,2026-05-11,2026-05-18,13.824738095238093,7.292190925218247,20.35728526525794,9.558584841347582,18.090891349128604,,,,
transfer_uae,regression,target_next_INF_B,xgboost,ARE,2026-05-11,2026-05-18,9.683224,-0.07122039794921875,19.437667846679688,3.312974452972412,16.0534725189209,,,,
transfer_uae,regression,target_next_INF_B,lightgbm,ARE,2026-05-11,2026-05-18,9.72187365217643,1.1836028064126385,18.260144497940225,4.145860038616403,15.297887265736458,,,,
transfer_uae,regression,target_next_INF_ALL,sarimax,ARE,2026-05-11,2026-05-18,301.62043168660307,212.62871553744986,390.6121478357563,243.50339256878874,359.7374708044174,,,,
transfer_uae,regression,target_next_INF_ALL,prophet,ARE,2026-05-11,2026-05-18,232.28135158533001,154.07547272221285,310.4872304484472,181.2081245726821,283.35457859797793,,,,
transfer_uae,regression,target_next_INF_ALL,elastic_net,ARE,2026-05-11,2026-05-18,36.91259917093744,-51.91818363092561,125.74338197280049,-21.099340618034347,94.92453895990923,,,,
transfer_uae,regression,target_next_INF_ALL,random_forest,ARE,2026-05-11,2026-05-18,32.15560064935064,-12.278619295071572,76.58982059377286,3.1373345631973564,61.17386673550392,,,,
transfer_uae,regression,target_next_INF_ALL,xgboost,ARE,2026-05-11,2026-05-18,21.767057,-28.980600357055664,72.51471710205078,-11.374269485473633,54.90838623046875,,,,
transfer_uae,regression,target_next_INF_ALL,lightgbm,ARE,2026-05-11,2026-05-18,18.72154571629596,-34.611217941462854,72.05430937405477,-16.108014223464895,53.55110565605682,,,,
transfer_uae,regression,target_next_positivity_rate,sarimax,ARE,2026-05-11,2026-05-18,0.2254147497631554,0.18771799771782183,0.26311150180848897,0.20079646271314164,0.25003303681316913,,,,
