scenario,task,target,model,COUNTRY_CODE,latest_observed_week,forecast_week,prediction,lower_95,upper_95,lower_80,upper_80,prob_decrease,prob_increase,prob_stable,prob_not_increase
uae_only,regression,target_next_positivity_rate,elastic_net,ARE,2026-05-11,2026-05-18,0.10110697184027852,-0.029164514342622447,0.23137845802317947,0.016031715557567675,0.18618222812298935,,,,
uae_only,regression,target_next_positivity_rate,random_forest,ARE,2026-05-11,2026-05-18,0.06349550628322315,0.011767639077685771,0.11522337348876052,0.02971404198572935,0.09727697058071694,,,,
uae_only,regression,target_next_positivity_rate,xgboost,ARE,2026-05-11,2026-05-18,0.057324752,0.033859945833683014,0.08078955858945847,0.042000796645879745,0.07264870405197144,,,,
uae_only,regression,target_next_positivity_rate,lightgbm,ARE,2026-05-11,2026-05-18,0.05743646336917324,0.019196617414179058,0.09567630932416743,0.03246350274550357,0.08240942399284291,,,,
uae_only,regression,target_next_A_rate,sarimax,ARE,2026-05-11,2026-05-18,0.14397212525552228,0.11219811082302487,0.17574613968801966,0.12322174848327908,0.16472250202776548,,,,
uae_only,regression,target_next_A_rate,prophet,ARE,2026-05-11,2026-05-18,0.10064312595031033,0.06233011801371422,0.13895613388690645,0.0756223860733496,0.12566386582727107,,,,
uae_only,regression,target_next_A_rate,elastic_net,ARE,2026-05-11,2026-05-18,0.02879048311104372,-0.03383683160154813,0.09141779782363557,-0.01210898772166933,0.06968995394375677,,,,
uae_only,regression,target_next_A_rate,random_forest,ARE,2026-05-11,2026-05-18,0.03508878542978031,-0.007249220291590322,0.07742679115115095,0.007439475570926019,0.06273809528863461,,,,
uae_only,regression,target_next_A_rate,xgboost,ARE,2026-05-11,2026-05-18,0.03522394,0.013278806582093239,0.057169072329998016,0.020892424508929253,0.049555450677871704,,,,
uae_only,regression,target_next_A_rate,lightgbm,ARE,2026-05-11,2026-05-18,0.044000116899751224,0.01198109965261824,0.07601913414688422,0.023089738289378662,0.06491049551012379,,,,
uae_only,regression,target_next_B_rate,sarimax,ARE,2026-05-11,2026-05-18,0.06805685800962269,0.05201232470056451,0.08410139131868087,0.05757879544044184,0.07853492057880354,,,,
uae_only,regression,target_next_B_rate,prophet,ARE,2026-05-11,2026-05-18,0.03959676085553007,0.009993198269642404,0.06920032344141774,0.02026382202392996,0.05892969968713019,,,,
uae_only,regression,target_next_B_rate,elastic_net,ARE,2026-05-11,2026-05-18,0.020440143187698684,-0.028247129784591346,0.06912741615998871,-0.01135562691665399,0.05223591329205136,,,,
uae_only,regression,target_next_B_rate,random_forest,ARE,2026-05-11,2026-05-18,0.021710525067602224,0.0022098186442102846,0.04121123149099416,0.008975369852325856,0.03444568028287859,,,,
uae_only,regression,target_next_B_rate,xgboost,ARE,2026-05-11,2026-05-18,0.022509573,0.011193905025720596,0.03382524102926254,0.015119749121367931,0.029899396002292633,,,,
uae_only,regression,target_next_B_rate,lightgbm,ARE,2026-05-11,2026-05-18,0.029768876693722492,0.015706487183415725,0.04383126620402926,0.020585275380869093,0.03895247800657589,,,,
uae_only,classification,target_trend,logistic_regression,ARE,2026-05-11,2026-05-18,increase,,,,,0.00031043323110609475,0.9856017869559703,0.01408777981292348,
uae_only,classification,target_trend,random_forest,ARE,2026-05-11,2026-05-18,increase,,,,,0.2238185035104775,0.461379298307615,0.31480219818190736,
uae_only,classification,target_trend,lightgbm,ARE,2026-05-11,2026-05-18,increase,,,,,0.0166682271325732,0.881587795157981,0.10174397770944577,
uae_only,classification,target_increase_binary,logistic_regression,ARE,2026-05-11,2026-05-18,increase,,,,,,0.9907940716199641,,0.009205928380035817
uae_only,classification,target_increase_binary,random_forest,ARE,2026-05-11,2026-05-18,increase,,,,,,0.5244135991872282,,0.47558640081277176
uae_only,classification,target_increase_binary,lightgbm,ARE,2026-05-11,2026-05-18,increase,,,,,,0.743020927031004,,0.25697907296899597
