scenario,task,target,model,n,mae,rmse,mape,smape,r2,spearman,prediction_interval_95_coverage,prediction_interval_80_coverage,accuracy,balanced_accuracy,macro_f1,precision_decrease,recall_decrease,f1_decrease,support_decrease,precision_increase,recall_increase,f1_increase,support_increase,precision_stable,recall_stable,f1_stable,support_stable,roc_auc_ovr_macro,pr_auc_ovr_macro,precision_not_increase,recall_not_increase,f1_not_increase,support_not_increase,roc_auc,pr_auc
transfer_uae,regression,target_next_INF_A,seasonal_naive,66,84.27272727272727,133.2195726815491,1.0341964201069431,0.5857721602941888,0.2738327920606729,0.6131632269617769,0.8636363636363636,0.7575757575757576,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_A,moving_average,66,76.71212121212122,128.47486784062735,0.6930283555915747,0.4496680332756696,0.32463753499335635,0.7823232245070282,0.7727272727272727,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_A,sarimax,66,104.68693938034339,151.59572135351448,1.7317245314199206,0.7367974981178804,0.0596826519105792,0.46194154740184606,0.3333333333333333,0.24242424242424243,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_A,prophet,66,121.07318838442497,144.09843056114818,2.7200259938537545,0.8154416220185352,0.1503910822863468,0.4456367456428709,0.16666666666666666,0.10606060606060606,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_A,elastic_net,66,27.736885227049278,47.02600891792366,0.34295534424461377,0.24394541462681468,0.9095149554634999,0.9318789194819089,0.8939393939393939,0.803030303030303,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_A,random_forest,66,26.60557916932048,44.48028531479534,0.41617460886787233,0.24759418639718253,0.919046488947096,0.9130480216757688,0.8333333333333334,0.6818181818181818,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_A,xgboost,66,28.084492654511422,48.493035777705785,0.38018227743595084,0.24634820655047068,0.9037813395546505,0.9267424544284365,0.8636363636363636,0.6818181818181818,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_A,lightgbm,66,26.703276184393246,44.68325164706934,0.3802074321716514,0.2405420011699526,0.9183060114714204,0.9317536585208924,0.8484848484848485,0.7272727272727273,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_B,seasonal_naive,66,41.833333333333336,50.48327055630019,2.0929650189975946,1.0089657735659792,-1.6974399720088056,0.2094696990580247,0.48484848484848486,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_B,moving_average,66,12.068181818181818,17.037781101084875,0.5933610381313458,0.41955888810552056,0.692756367267797,0.7912194252877325,0.7727272727272727,0.6060606060606061,,,,,,,,,,,,,,,,,,,,,,,
