scenario,task,target,model,n,mae,rmse,mape,smape,r2,spearman,prediction_interval_95_coverage,prediction_interval_80_coverage,accuracy,balanced_accuracy,macro_f1,precision_decrease,recall_decrease,f1_decrease,support_decrease,precision_increase,recall_increase,f1_increase,support_increase,precision_stable,recall_stable,f1_stable,support_stable,roc_auc_ovr_macro,pr_auc_ovr_macro,precision_A,recall_A,f1_A,support_A,precision_B,recall_B,f1_B,support_B,precision_both,recall_both,f1_both,support_both,precision_uncertain,recall_uncertain,f1_uncertain,support_uncertain,precision_not_increase,recall_not_increase,f1_not_increase,support_not_increase,roc_auc,pr_auc
uae_only,regression,target_next_INF_A,seasonal_naive,66,84.27272727272727,133.2195726815491,1.0341964201069431,0.5857721602941888,0.2738327920606729,0.6131632269617769,0.7575757575757576,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uae_only,regression,target_next_INF_A,moving_average,66,76.71212121212122,128.47486784062735,0.6930283555915747,0.4496680332756696,0.32463753499335635,0.7823232245070282,0.6666666666666666,0.5909090909090909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uae_only,regression,target_next_INF_A,sarimax,66,104.68693938034339,151.59572135351448,1.7317245314199206,0.7367974981178804,0.0596826519105792,0.46194154740184606,0.3333333333333333,0.24242424242424243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uae_only,regression,target_next_INF_A,prophet,66,121.07318838442497,144.09843056114818,2.7200259938537545,0.8154416220185352,0.1503910822863468,0.4456367456428709,0.16666666666666666,0.10606060606060606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uae_only,regression,target_next_INF_A,elastic_net,66,44.3840160323289,84.06509328240887,0.5042749156945288,0.31096103020589905,0.7108441659086846,0.8951148274235796,0.8333333333333334,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uae_only,regression,target_next_INF_A,random_forest,66,59.10677691668601,105.8263113097238,0.6034450393341332,0.3633075493548302,0.5417654005656203,0.8880793367798222,0.5757575757575758,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uae_only,regression,target_next_INF_A,xgboost,66,61.494902870871805,114.52604147757829,0.5610727346450634,0.37555748298742275,0.4633278477819762,0.8986221343320405,0.3939393939393939,0.30303030303030304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uae_only,regression,target_next_INF_A,lightgbm,66,62.54669794731221,119.45312796172924,0.7325156266229039,0.36035393225651813,0.4161576235039055,0.9045814714393784,0.5757575757575758,0.48484848484848486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uae_only,regression,target_next_INF_A,lstm,54,124.6842311223348,208.9147751311088,0.8215391922803937,1.2474265665183335,-0.5307589989594559,0.4364897863250291,0.8148148148148148,0.7222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uae_only,regression,target_next_INF_A,gru,54,124.07911844606753,209.08359480108018,0.8027147898994765,1.2129529909003138,-0.5332339473364001,0.33989021265274755,0.8148148148148148,0.7037037037037037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uae_only,regression,target_next_INF_A,temporal_cnn,54,92.42811748716566,150.22020122884757,0.7128991640142088,0.6566587806798867,0.20854689274836413,0.7768755769011152,0.6666666666666666,0.5555555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uae_only,regression,target_next_INF_B,seasonal_naive,66,41.833333333333336,50.48327055630019,2.0929650189975946,1.0089657735659792,-1.6974399720088056,0.2094696990580247,0.42424242424242425,0.30303030303030304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uae_only,regression,target_next_INF_B,moving_average,66,12.068181818181818,17.037781101084875,0.5933610381313458,0.41955888810552056,0.692756367267797,0.7912194252877325,0.8484848484848485,0.696969696969697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uae_only,regression,target_next_INF_B,sarimax,66,122.988402260301,132.77898131306725,9.781253132039792,1.3457077508786703,-17.660165351882895,-0.46678228958573453,0.07575757575757576,0.07575757575757576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uae_only,regression,target_next_INF_B,prophet,66,40.201019522818655,44.45466270652415,3.0655564184067337,0.9442719728979132,-1.0916617852998138,-0.027213303057280185,0.5151515151515151,0.2727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uae_only,regression,target_next_INF_B,elastic_net,66,11.714135978767615,15.209609249528452,0.8662099093425848,0.4633816727375523,0.755154043389346,0.7575448415147098,0.7575757575757576,0.5909090909090909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uae_only,regression,target_next_INF_B,random_forest,66,12.346343472604834,15.899226507565155,0.6974508950284477,0.452440329742382,0.7324476215222921,0.6908795588141432,0.5151515151515151,0.4090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uae_only,regression,target_next_INF_B,xgboost,66,11.97780712445577,15.80846164855448,0.6701217664649548,0.44083189055453464,0.7354936863270133,0.7214553651655309,0.30303030303030304,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uae_only,regression,target_next_INF_B,lightgbm,66,12.579751595960117,16.237493618750012,0.676751383593201,0.46311700050525484,0.720941786351733,0.763016741285245,0.5606060606060606,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uae_only,regression,target_next_INF_B,lstm,54,10.95656673113505,14.91659930947317,0.5874383190040987,0.5562401423281459,-0.16926995521968724,0.2486410953101672,1.0,0.8703703703703703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uae_only,regression,target_next_INF_B,gru,54,11.328072247681794,15.226381373887214,0.6461628229842163,0.5762646175087265,-0.21834013031384436,0.14747567880777943,1.0,0.8703703703703703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uae_only,regression,target_next_INF_B,temporal_cnn,54,9.065809726715088,11.849807898398188,0.4527533900168959,0.4422333701693553,0.2620995714166967,0.7181142404439855,1.0,0.9629629629629629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uae_only,regression,target_next_INF_ALL,seasonal_naive,66,115.10606060606061,154.15316075156218,1.0747967206888394,0.6537146621276855,0.056735311285727286,0.49515090146866136,0.696969696969697,0.5606060606060606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uae_only,regression,target_next_INF_ALL,moving_average,66,85.39393939393939,132.9939335595288,0.5749614015443196,0.427867101077374,0.29791067196303767,0.7720459317107088,0.7575757575757576,0.5909090909090909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uae_only,regression,target_next_INF_ALL,sarimax,66,135.0438068016243,159.8277365634371,1.677829812783596,0.7466265879979483,-0.01398844808229227,0.5428544611172372,0.30303030303030304,0.10606060606060606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uae_only,regression,target_next_INF_ALL,prophet,66,124.11550935716961,145.43160568622682,1.7015093949052578,0.6840451300050172,0.16045050010638529,0.518387075491371,0.30303030303030304,0.18181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uae_only,regression,target_next_INF_ALL,elastic_net,66,48.302918957465685,82.9336548999009,0.39539334182665026,0.283272462966184,0.7269826043862722,0.9034978797920162,0.8181818181818182,0.7121212121212122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uae_only,regression,target_next_INF_ALL,random_forest,66,58.67914408460354,94.42266255998082,0.42229762144437705,0.3173714604534228,0.6460994852654667,0.9041033014499942,0.6060606060606061,0.5757575757575758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uae_only,regression,target_next_INF_ALL,xgboost,66,56.19152265606505,95.4675364097632,0.4044476801193253,0.29833284175169245,0.638223677291457,0.9144372228534103,0.42424242424242425,0.30303030303030304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uae_only,regression,target_next_INF_ALL,lightgbm,66,56.36105868438008,104.22673048824991,0.4337228137721811,0.28946875498646646,0.5687918724096579,0.9119111531770197,0.6818181818181818,0.5151515151515151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uae_only,regression,target_next_INF_ALL,lstm,54,146.83910717787566,221.7849677621846,0.8218689043138054,1.4075759480594412,-0.7648855917232975,0.19018030779931072,0.8333333333333334,0.7777777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uae_only,regression,target_next_INF_ALL,gru,54,146.56798590554132,221.76679227113894,0.8213650544375214,1.4044568463123763,-0.7645963354387528,0.4815690175242919,0.8333333333333334,0.7592592592592593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uae_only,regression,target_next_INF_ALL,temporal_cnn,54,92.68877008226183,158.7951570037997,0.5731870005270253,0.4674568229272011,0.09525362940392712,0.8114207319735673,0.7592592592592593,0.6851851851851852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uae_only,regression,target_next_positivity_rate,seasonal_naive,66,0.0646702435013748,0.08243263098470843,0.5099062098883523,0.4691745452095707,-0.10330501894806576,0.6002922450683646,0.8484848484848485,0.6212121212121212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uae_only,regression,target_next_positivity_rate,moving_average,66,0.0447223920372582,0.06451520262835743,0.3614784413306012,0.30850840232476867,0.3241949972686712,0.6847093205302162,0.8636363636363636,0.7878787878787878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uae_only,regression,target_next_positivity_rate,sarimax,66,0.060073414588116304,0.08700342847997569,0.46598265172554865,0.47577820563528095,-0.22905128400538954,0.15132032146957522,0.45454545454545453,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
