fpr,tpr
0.0,0.0
0.02127659574468085,0.0
0.2765957446808511,0.0
0.2765957446808511,0.05263157894736842
0.2978723404255319,0.05263157894736842
0.2978723404255319,0.15789473684210525
0.3617021276595745,0.15789473684210525
0.3617021276595745,0.21052631578947367
0.48936170212765956,0.21052631578947367
0.48936170212765956,0.3157894736842105
0.6382978723404256,0.3157894736842105
0.6382978723404256,0.3684210526315789
0.7021276595744681,0.3684210526315789
0.7021276595744681,0.42105263157894735
0.8297872340425532,0.42105263157894735
0.8297872340425532,0.47368421052631576
0.9148936170212766,0.47368421052631576
0.9148936170212766,0.5789473684210527
0.9574468085106383,0.5789473684210527
0.9574468085106383,0.631578947368421
0.9787234042553191,0.631578947368421
0.9787234042553191,0.8421052631578947
1.0,0.8421052631578947
1.0,1.0
