fpr,tpr
0.0,0.0
0.02127659574468085,0.0
0.1276595744680851,0.0
0.1276595744680851,0.05263157894736842
0.14893617021276595,0.05263157894736842
0.14893617021276595,0.10526315789473684
0.1702127659574468,0.10526315789473684
0.1702127659574468,0.3157894736842105
0.2127659574468085,0.3157894736842105
0.2127659574468085,0.3684210526315789
0.2765957446808511,0.3684210526315789
0.2765957446808511,0.5263157894736842
0.3617021276595745,0.5263157894736842
0.3617021276595745,0.5789473684210527
0.5319148936170213,0.5789473684210527
0.5319148936170213,0.631578947368421
0.6808510638297872,0.631578947368421
0.6808510638297872,0.6842105263157895
0.7021276595744681,0.6842105263157895
0.7021276595744681,0.7894736842105263
0.723404255319149,0.7894736842105263
0.723404255319149,0.8421052631578947
0.7872340425531915,0.8421052631578947
0.7872340425531915,0.9473684210526315
0.8723404255319149,0.9473684210526315
0.8723404255319149,1.0
1.0,1.0
