scenario,task,target,model,n,mae,rmse,mape,smape,r2,spearman,prediction_interval_95_coverage,prediction_interval_80_coverage,accuracy,balanced_accuracy,macro_f1,precision_decrease,recall_decrease,f1_decrease,support_decrease,precision_increase,recall_increase,f1_increase,support_increase,precision_stable,recall_stable,f1_stable,support_stable,roc_auc_ovr_macro,pr_auc_ovr_macro,precision_A,recall_A,f1_A,support_A,precision_B,recall_B,f1_B,support_B,precision_both,recall_both,f1_both,support_both,precision_uncertain,recall_uncertain,f1_uncertain,support_uncertain,precision_not_increase,recall_not_increase,f1_not_increase,support_not_increase,roc_auc,pr_auc
malaysia_only,classification,target_subtype_driver,gru,294,,,,,,,,,0.4863945578231292,0.2644317440550317,0.2286073409623402,,,,,,,,,,,,,0.5111305656391639,0.2698784520086721,0.4782608695652174,0.1309523809523809,0.205607476635514,84.0,0.1176470588235294,0.0363636363636363,0.0555555555555555,55.0,0.0,0.0,0.0,9.0,0.5158730158730159,0.8904109589041096,0.6532663316582915,146.0,,,,,,
malaysia_only,classification,target_trend,gru,223,,,,,,,,,0.3677130044843049,0.3370749265889931,0.3280223363495557,0.2456140350877192,0.2222222222222222,0.2333333333333333,63.0,0.5,0.1911764705882352,0.2765957446808511,68.0,0.3928571428571428,0.5978260869565217,0.4741379310344827,92.0,0.4687165209422728,0.3424255186364208,,,,,,,,,,,,,,,,,,,,,,
malaysia_only,regression,target_next_A_rate,moving_average,306,0.0261723978250254,0.0460063192775849,0.5610721787057972,0.4817479494551589,0.6476177965383176,0.8990844344516129,0.9705882352941176,0.9183006535947712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malaysia_only,regression,target_next_B_rate,moving_average,306,0.0103227572314551,0.0214860699069537,0.5997361089307639,0.5779189709019169,0.8174634946699884,0.9201206316399728,0.9509803921568628,0.931372549019608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malaysia_only,regression,target_next_INF_A,moving_average,306,24.59640522875817,43.99544131167627,0.6214818574770523,0.5109943066441515,0.6599019920629834,0.9181972946948924,0.4673202614379085,0.4183006535947712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malaysia_only,regression,target_next_INF_ALL,moving_average,242,37.450413223140494,53.60755678659586,0.7020911780518401,0.3961107557439961,0.5669263499400047,0.8304293275900019,0.3471074380165289,0.2272727272727272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malaysia_only,regression,target_next_INF_B,elastic_net,306,9.870080332129506,17.765203737058343,1.45856362189293,0.9774092584374692,0.8610039837979961,0.9066615579424784,0.4183006535947712,0.3562091503267974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malaysia_only,regression,target_next_positivity_rate,moving_average,242,0.0404674718686139,0.0566241230728018,0.5148061498708513,0.3547330377326594,0.5191815801087276,0.7817055818130898,0.9834710743801652,0.9256198347107438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,classification,target_increase_binary,lightgbm,235,,,,,,,,,0.7021276595744681,0.5416316938056068,0.5018774224806202,,,,,0.6666666666666666,0.1081081081081081,0.1860465116279069,74.0,,,,,,,,,,,,,,,,,,,,,,,0.7040358744394619,0.9751552795031057,0.8177083333333334,161.0,0.6405909014604667,0.4801935534079374
transfer_malaysia,regression,target_next_A_rate,lightgbm,306,0.0198606063676616,0.0271515354736844,0.4905811641142998,0.6766864779161125,0.8772651832596123,0.9557759513831804,0.9967320261437908,0.9901960784313726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_B_rate,xgboost,306,0.0095564081503099,0.0151060560928105,1.2202244340027133,0.8978197326684715,0.9097727026313644,0.9212758241993452,1.0,0.9869281045751634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_INF_A,xgboost,306,18.38151848939509,28.66564627579758,0.4800658282063878,0.6947510697212,0.855618281601216,0.9550017842552576,0.5849673202614379,0.4967320261437908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_INF_ALL,elastic_net,242,36.53842677397323,44.41173428675764,0.9023784661993676,0.419603932651525,0.7027614067277854,0.9286429493199888,0.4380165289256198,0.3099173553719008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_INF_B,elastic_net,306,7.28545846382918,14.928824905139887,0.5886228657993637,0.8239666486559593,0.90184482158178,0.9580212985910944,0.7287581699346405,0.6339869281045751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_malaysia,regression,target_next_positivity_rate,lightgbm,242,0.0246649899646446,0.0322157673013733,0.3779429360799412,0.2582319762752655,0.844362201984473,0.9247095730808962,1.0,0.9917355371900828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,classification,target_increase_binary,random_forest,66,,,,,,,,,0.7727272727272727,0.6522956326987682,0.668563776364245,,,,,0.7,0.3684210526315789,0.4827586206896552,19.0,,,,,,,,,,,,,,,,,,,,,,,0.7857142857142857,0.9361702127659576,0.8543689320388349,47.0,0.7368421052631579,0.620393476767785
transfer_uae,classification,target_trend,lightgbm,66,,,,,,,,,0.5151515151515151,0.4939592571171518,0.4633053221288515,0.4772727272727273,0.8076923076923077,0.6,26.0,0.7333333333333333,0.5789473684210527,0.6470588235294118,19.0,0.2857142857142857,0.0952380952380952,0.1428571428571428,21.0,0.6811835082645086,0.5639615729160209,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_A_rate,random_forest,66,0.0148687665234036,0.0203162061583045,0.1973932332812276,0.1738161277118091,0.9334452276770908,0.9160839160839164,1.0,0.9848484848484848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_B_rate,lightgbm,66,0.0069644996196656,0.0093467834574702,0.556702383529672,0.3361728586554285,0.8259365012272006,0.8588545961703193,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_A,random_forest,66,26.60557916932048,44.48028531479534,0.4161746088678723,0.2475941863971825,0.919046488947096,0.9130480216757688,0.8333333333333334,0.6818181818181818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_ALL,random_forest,66,30.710397462806544,45.90635112544245,0.3058207985450416,0.2226671256055781,0.9163483989905796,0.9190092002015884,0.7575757575757576,0.6515151515151515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_INF_B,random_forest,66,7.748941244992383,10.4235337286782,0.4618957543106499,0.3281338662105545,0.8850029300143751,0.8344856001202512,0.5151515151515151,0.4393939393939394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_uae,regression,target_next_positivity_rate,random_forest,66,0.0177354630630167,0.0248175353678556,0.1616084939574273,0.1478115413226991,0.8999966450682408,0.89738023170859,1.0,0.9696969696969696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uae_only,classification,target_increase_binary,random_forest,66,,,,,,,,,0.7272727272727273,0.6360582306830906,0.6434573829531813,,,,,0.5333333333333333,0.4210526315789473,0.4705882352941176,19.0,,,,,,,,,,,,,,,,,,,,,,,0.7843137254901961,0.851063829787234,0.8163265306122449,47.0,0.7021276595744681,0.523457948402055
uae_only,classification,target_subtype_driver,lstm,54,,,,,,,,,0.5185185185185185,0.4155844155844156,0.3854166666666666,,,,,,,,,,,,,0.6321982663552204,0.3945029068105039,0.6875,0.5,0.5789473684210527,22.0,0.3333333333333333,0.5714285714285714,0.4210526315789473,7.0,0.0,0.0,0.0,3.0,0.5,0.5909090909090909,0.5416666666666666,22.0,,,,,,
uae_only,classification,target_trend,temporal_cnn,54,,,,,,,,,0.6111111111111112,0.6206816059757236,0.6138888888888889,0.5789473684210527,0.5238095238095238,0.55,21.0,0.6,0.75,0.6666666666666666,16.0,0.6666666666666666,0.5882352941176471,0.625,17.0,0.7114666270045529,0.5968575555677961,,,,,,,,,,,,,,,,,,,,,,
uae_only,regression,target_next_A_rate,elastic_net,66,0.018593657189842,0.0287044270365698,0.2226754665274439,0.1946014050350498,0.8671407658748028,0.9114079949900846,0.9393939393939394,0.8939393939393939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uae_only,regression,target_next_B_rate,lightgbm,66,0.0085022236042725,0.0110209748400087,0.5290273905791434,0.3921210862254182,0.7579955409135404,0.8053230351737816,0.7878787878787878,0.6363636363636364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uae_only,regression,target_next_INF_A,elastic_net,66,44.3840160323289,84.06509328240887,0.5042749156945288,0.310961030205899,0.7108441659086846,0.8951148274235796,0.8333333333333334,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uae_only,regression,target_next_INF_ALL,elastic_net,66,48.302918957465685,82.9336548999009,0.3953933418266502,0.283272462966184,0.7269826043862722,0.9034978797920162,0.8181818181818182,0.7121212121212122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uae_only,regression,target_next_INF_B,temporal_cnn,54,9.065809726715088,11.849807898398188,0.4527533900168959,0.4422333701693553,0.2620995714166967,0.7181142404439855,1.0,0.9629629629629628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uae_only,regression,target_next_positivity_rate,random_forest,66,0.0210189190806795,0.0296155555047948,0.188770746072572,0.1731615815242494,0.8575911309420016,0.8419371673103018,0.9090909090909092,0.8181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
