class,curve,x,y
decrease,roc,0.0,0.0
decrease,roc,0.0,0.010869565217391304
decrease,roc,0.0,0.021739130434782608
decrease,roc,0.004784688995215311,0.021739130434782608
decrease,roc,0.004784688995215311,0.043478260869565216
decrease,roc,0.009569377990430622,0.043478260869565216
decrease,roc,0.009569377990430622,0.05434782608695652
decrease,roc,0.028708133971291867,0.05434782608695652
decrease,roc,0.028708133971291867,0.06521739130434782
decrease,roc,0.03827751196172249,0.06521739130434782
decrease,roc,0.03827751196172249,0.09782608695652174
decrease,roc,0.0430622009569378,0.09782608695652174
decrease,roc,0.0430622009569378,0.10869565217391304
decrease,roc,0.05741626794258373,0.10869565217391304
decrease,roc,0.05741626794258373,0.11956521739130435
decrease,roc,0.06698564593301436,0.11956521739130435
decrease,roc,0.06698564593301436,0.14130434782608695
decrease,roc,0.07655502392344497,0.14130434782608695
decrease,roc,0.07655502392344497,0.15217391304347827
decrease,roc,0.09569377990430622,0.15217391304347827
decrease,roc,0.09569377990430622,0.16304347826086957
decrease,roc,0.10047846889952153,0.16304347826086957
decrease,roc,0.10047846889952153,0.17391304347826086
decrease,roc,0.10526315789473684,0.17391304347826086
decrease,roc,0.10526315789473684,0.18478260869565216
decrease,roc,0.11004784688995216,0.18478260869565216
decrease,roc,0.11004784688995216,0.21739130434782608
decrease,roc,0.11483253588516747,0.21739130434782608
decrease,roc,0.11483253588516747,0.22826086956521738
decrease,roc,0.11961722488038277,0.22826086956521738
decrease,roc,0.11961722488038277,0.2391304347826087
decrease,roc,0.12440191387559808,0.2391304347826087
decrease,roc,0.12440191387559808,0.2608695652173913
decrease,roc,0.1291866028708134,0.2608695652173913
decrease,roc,0.1291866028708134,0.2717391304347826
decrease,roc,0.13875598086124402,0.2717391304347826
decrease,roc,0.13875598086124402,0.2826086956521739
decrease,roc,0.14354066985645933,0.2826086956521739
decrease,roc,0.14354066985645933,0.29347826086956524
decrease,roc,0.15311004784688995,0.29347826086956524
decrease,roc,0.15311004784688995,0.30434782608695654
decrease,roc,0.1674641148325359,0.30434782608695654
decrease,roc,0.1674641148325359,0.33695652173913043
decrease,roc,0.17703349282296652,0.33695652173913043
decrease,roc,0.17703349282296652,0.34782608695652173
decrease,roc,0.18660287081339713,0.34782608695652173
decrease,roc,0.18660287081339713,0.358695652173913
decrease,roc,0.19617224880382775,0.358695652173913
decrease,roc,0.19617224880382775,0.391304347826087
decrease,roc,0.215311004784689,0.391304347826087
decrease,roc,0.215311004784689,0.40217391304347827
decrease,roc,0.22009569377990432,0.40217391304347827
decrease,roc,0.22009569377990432,0.41304347826086957
decrease,roc,0.23444976076555024,0.41304347826086957
decrease,roc,0.23444976076555024,0.42391304347826086
decrease,roc,0.23923444976076555,0.42391304347826086
decrease,roc,0.23923444976076555,0.43478260869565216
decrease,roc,0.2535885167464115,0.43478260869565216
decrease,roc,0.2535885167464115,0.44565217391304346
decrease,roc,0.27751196172248804,0.44565217391304346
decrease,roc,0.27751196172248804,0.45652173913043476
decrease,roc,0.28708133971291866,0.45652173913043476
decrease,roc,0.28708133971291866,0.4673913043478261
decrease,roc,0.3014354066985646,0.4673913043478261
decrease,roc,0.3014354066985646,0.4891304347826087
decrease,roc,0.3492822966507177,0.4891304347826087
decrease,roc,0.3492822966507177,0.5
decrease,roc,0.3588516746411483,0.5
decrease,roc,0.3588516746411483,0.532608695652174
decrease,roc,0.3827751196172249,0.532608695652174
decrease,roc,0.3827751196172249,0.5543478260869565
decrease,roc,0.3875598086124402,0.5543478260869565
decrease,roc,0.3875598086124402,0.5652173913043478
decrease,roc,0.3923444976076555,0.5652173913043478
decrease,roc,0.3923444976076555,0.5760869565217391
decrease,roc,0.4354066985645933,0.5760869565217391
decrease,roc,0.4354066985645933,0.5869565217391305
decrease,roc,0.44019138755980863,0.5869565217391305
decrease,roc,0.44019138755980863,0.5978260869565217
decrease,roc,0.44976076555023925,0.5978260869565217
decrease,roc,0.44976076555023925,0.6086956521739131
