class,curve,x,y
decrease,roc,0.0,0.0
decrease,roc,0.0,0.015151515151515152
decrease,roc,0.0,0.045454545454545456
decrease,roc,0.005917159763313609,0.045454545454545456
decrease,roc,0.005917159763313609,0.07575757575757576
decrease,roc,0.01775147928994083,0.07575757575757576
decrease,roc,0.01775147928994083,0.09090909090909091
decrease,roc,0.05325443786982249,0.09090909090909091
decrease,roc,0.05325443786982249,0.10606060606060606
decrease,roc,0.05917159763313609,0.10606060606060606
decrease,roc,0.05917159763313609,0.12121212121212122
decrease,roc,0.07692307692307693,0.12121212121212122
decrease,roc,0.07692307692307693,0.15151515151515152
decrease,roc,0.09467455621301775,0.15151515151515152
decrease,roc,0.09467455621301775,0.19696969696969696
decrease,roc,0.10650887573964497,0.19696969696969696
decrease,roc,0.10650887573964497,0.21212121212121213
decrease,roc,0.1301775147928994,0.21212121212121213
decrease,roc,0.1301775147928994,0.22727272727272727
decrease,roc,0.13609467455621302,0.22727272727272727
decrease,roc,0.13609467455621302,0.24242424242424243
decrease,roc,0.14201183431952663,0.24242424242424243
decrease,roc,0.14201183431952663,0.25757575757575757
decrease,roc,0.15384615384615385,0.25757575757575757
decrease,roc,0.15384615384615385,0.2727272727272727
decrease,roc,0.17751479289940827,0.2727272727272727
decrease,roc,0.17751479289940827,0.2878787878787879
decrease,roc,0.1952662721893491,0.2878787878787879
decrease,roc,0.1952662721893491,0.30303030303030304
decrease,roc,0.20118343195266272,0.30303030303030304
decrease,roc,0.20118343195266272,0.3181818181818182
decrease,roc,0.23076923076923078,0.3181818181818182
decrease,roc,0.23076923076923078,0.3333333333333333
decrease,roc,0.2485207100591716,0.3333333333333333
decrease,roc,0.2485207100591716,0.36363636363636365
decrease,roc,0.2603550295857988,0.36363636363636365
decrease,roc,0.2603550295857988,0.3939393939393939
decrease,roc,0.26627218934911245,0.3939393939393939
decrease,roc,0.26627218934911245,0.4393939393939394
decrease,roc,0.28402366863905326,0.4393939393939394
decrease,roc,0.28402366863905326,0.45454545454545453
decrease,roc,0.2958579881656805,0.45454545454545453
decrease,roc,0.2958579881656805,0.4696969696969697
decrease,roc,0.3076923076923077,0.4696969696969697
decrease,roc,0.3076923076923077,0.5
decrease,roc,0.3136094674556213,0.5
decrease,roc,0.3136094674556213,0.5303030303030303
decrease,roc,0.35502958579881655,0.5303030303030303
decrease,roc,0.35502958579881655,0.5757575757575758
decrease,roc,0.3609467455621302,0.5757575757575758
decrease,roc,0.3609467455621302,0.5909090909090909
decrease,roc,0.3727810650887574,0.5909090909090909
decrease,roc,0.3727810650887574,0.6060606060606061
decrease,roc,0.40236686390532544,0.6060606060606061
decrease,roc,0.40236686390532544,0.6212121212121212
decrease,roc,0.4260355029585799,0.6212121212121212
decrease,roc,0.4260355029585799,0.6363636363636364
decrease,roc,0.5029585798816568,0.6363636363636364
decrease,roc,0.5029585798816568,0.6515151515151515
decrease,roc,0.514792899408284,0.6515151515151515
decrease,roc,0.514792899408284,0.6666666666666666
decrease,roc,0.5207100591715976,0.6666666666666666
decrease,roc,0.5207100591715976,0.7121212121212122
decrease,roc,0.5325443786982249,0.7121212121212122
decrease,roc,0.5325443786982249,0.7272727272727273
decrease,roc,0.5857988165680473,0.7272727272727273
decrease,roc,0.5857988165680473,0.7424242424242424
decrease,roc,0.5976331360946746,0.7424242424242424
decrease,roc,0.5976331360946746,0.7878787878787878
decrease,roc,0.6449704142011834,0.7878787878787878
decrease,roc,0.6449704142011834,0.803030303030303
decrease,roc,0.6863905325443787,0.803030303030303
decrease,roc,0.6863905325443787,0.8181818181818182
decrease,roc,0.6923076923076923,0.8181818181818182
decrease,roc,0.6923076923076923,0.8636363636363636
decrease,roc,0.7041420118343196,0.8636363636363636
decrease,roc,0.7041420118343196,0.8787878787878788
decrease,roc,0.7455621301775148,0.8787878787878788
decrease,roc,0.7455621301775148,0.8939393939393939
decrease,roc,0.757396449704142,0.8939393939393939
decrease,roc,0.757396449704142,0.9393939393939394
decrease,roc,0.7928994082840237,0.9393939393939394
decrease,roc,0.7928994082840237,0.9545454545454546
decrease,roc,0.8224852071005917,0.9545454545454546
decrease,roc,0.8224852071005917,0.9696969696969697
decrease,roc,0.9230769230769231,0.9696969696969697
decrease,roc,0.9230769230769231,0.9848484848484849
decrease,roc,0.9349112426035503,0.9848484848484849
decrease,roc,0.9349112426035503,1.0
decrease,roc,1.0,1.0
decrease,pr,1.0,0.28085106382978725
decrease,pr,1.0,0.28205128205128205
decrease,pr,1.0,0.2832618025751073
decrease,pr,1.0,0.28448275862068967
decrease,pr,1.0,0.2857142857142857
decrease,pr,1.0,0.28695652173913044
decrease,pr,1.0,0.28820960698689957
decrease,pr,1.0,0.2894736842105263
decrease,pr,1.0,0.2907488986784141
decrease,pr,1.0,0.2920353982300885
decrease,pr,1.0,0.29333333333333333
decrease,pr,1.0,0.29464285714285715
decrease,pr,0.9848484848484849,0.2914798206278027
decrease,pr,0.9848484848484849,0.2927927927927928
decrease,pr,0.9848484848484849,0.29411764705882354
decrease,pr,0.9696969696969697,0.2909090909090909
decrease,pr,0.9696969696969697,0.2922374429223744
decrease,pr,0.9696969696969697,0.29357798165137616
decrease,pr,0.9696969696969697,0.29493087557603687
decrease,pr,0.9696969696969697,0.2962962962962963
decrease,pr,0.9696969696969697,0.29767441860465116
