class,curve,x,y
decrease,roc,0.0,0.0
decrease,roc,0.005917159763313609,0.0
decrease,roc,0.011834319526627219,0.0
decrease,roc,0.011834319526627219,0.015151515151515152
decrease,roc,0.047337278106508875,0.015151515151515152
decrease,roc,0.047337278106508875,0.06060606060606061
decrease,roc,0.05917159763313609,0.06060606060606061
decrease,roc,0.0650887573964497,0.07575757575757576
decrease,roc,0.07100591715976332,0.07575757575757576
decrease,roc,0.08284023668639054,0.07575757575757576
decrease,roc,0.9763313609467456,1.0
decrease,roc,1.0,1.0
decrease,pr,1.0,0.28085106382978725
decrease,pr,1.0,0.28205128205128205
decrease,pr,1.0,0.2832618025751073
decrease,pr,1.0,0.28448275862068967
decrease,pr,1.0,0.2857142857142857
decrease,pr,0.07575757575757576,0.2631578947368421
decrease,pr,0.07575757575757576,0.29411764705882354
decrease,pr,0.07575757575757576,0.3125
decrease,pr,0.06060606060606061,0.2857142857142857
decrease,pr,0.06060606060606061,0.3076923076923077
decrease,pr,0.06060606060606061,0.3333333333333333
decrease,pr,0.045454545454545456,0.2727272727272727
decrease,pr,0.030303030303030304,0.2
decrease,pr,0.015151515151515152,0.1111111111111111
decrease,pr,0.015151515151515152,0.125
decrease,pr,0.015151515151515152,0.14285714285714285
decrease,pr,0.015151515151515152,0.16666666666666666
decrease,pr,0.015151515151515152,0.2
decrease,pr,0.015151515151515152,0.25
decrease,pr,0.015151515151515152,0.3333333333333333
decrease,pr,0.0,0.0
decrease,pr,0.0,0.0
decrease,pr,0.0,1.0
increase,roc,0.0,0.0
increase,roc,0.006211180124223602,0.0
increase,roc,0.006211180124223602,0.02702702702702703
increase,roc,0.9503105590062112,0.8378378378378378
increase,roc,0.9503105590062112,0.8648648648648649
increase,roc,0.9565217391304348,0.8783783783783784
increase,roc,0.9627329192546584,0.8783783783783784
increase,roc,0.9627329192546584,0.8918918918918919
increase,roc,0.9627329192546584,0.918918918918919
increase,roc,0.968944099378882,0.918918918918919
increase,roc,0.968944099378882,0.9324324324324325
increase,roc,0.9813664596273292,0.9324324324324325
increase,roc,0.9813664596273292,0.9594594594594594
increase,roc,0.9875776397515528,0.9594594594594594
increase,roc,0.9875776397515528,0.972972972972973
increase,roc,1.0,0.972972972972973
increase,roc,1.0,1.0
increase,pr,1.0,0.3148936170212766
increase,pr,0.9864864864864865,0.31196581196581197
increase,pr,0.972972972972973,0.3090128755364807
increase,pr,0.972972972972973,0.3103448275862069
increase,pr,0.972972972972973,0.3116883116883117
increase,pr,0.9594594594594594,0.30869565217391304
increase,pr,0.9594594594594594,0.31004366812227074
increase,pr,0.9459459459459459,0.30701754385964913
increase,pr,0.9324324324324325,0.3039647577092511
increase,pr,0.9324324324324325,0.3053097345132743
increase,pr,0.9324324324324325,0.30666666666666664
increase,pr,0.918918918918919,0.30357142857142855
increase,pr,0.918918918918919,0.30493273542600896
increase,pr,0.8918918918918919,0.2986425339366516
increase,pr,0.8783783783783784,0.29545454545454547
increase,pr,0.8783783783783784,0.2968036529680365
increase,pr,0.8648648648648649,0.29493087557603687
increase,pr,0.8513513513513513,0.2916666666666667
increase,pr,0.8378378378378378,0.28837209302325584
increase,pr,0.02702702702702703,0.6666666666666666
increase,pr,0.013513513513513514,0.5
increase,pr,0.0,0.0
increase,pr,0.0,1.0
stable,roc,0.0,0.0
stable,roc,0.007142857142857143,0.0
stable,roc,0.007142857142857143,0.010526315789473684
stable,roc,0.014285714285714285,0.010526315789473684
stable,roc,0.014285714285714285,0.021052631578947368
stable,roc,0.02142857142857143,0.021052631578947368
stable,roc,0.8857142857142857,0.9789473684210527
stable,roc,0.9071428571428571,0.9789473684210527
stable,roc,0.9357142857142857,0.9789473684210527
stable,roc,0.9357142857142857,0.9894736842105263
stable,roc,0.9857142857142858,0.9894736842105263
stable,roc,0.9857142857142858,1.0
stable,roc,1.0,1.0
stable,pr,1.0,0.40425531914893614
stable,pr,1.0,0.405982905982906
stable,pr,1.0,0.40772532188841204
stable,pr,0.9894736842105263,0.4051724137931034
stable,pr,0.9894736842105263,0.4069264069264069
stable,pr,0.9894736842105263,0.40869565217391307
stable,pr,0.9894736842105263,0.4104803493449782
stable,pr,0.9894736842105263,0.41228070175438597
stable,pr,0.9894736842105263,0.41409691629955947
stable,pr,0.9894736842105263,0.415929203539823
stable,pr,0.9894736842105263,0.4177777777777778
stable,pr,0.9789473684210527,0.41517857142857145
stable,pr,0.9789473684210527,0.42272727272727273
stable,pr,0.9789473684210527,0.4246575342465753
stable,pr,0.9789473684210527,0.42660550458715596
stable,pr,0.9789473684210527,0.42857142857142855
stable,pr,0.021052631578947368,0.4
stable,pr,0.021052631578947368,0.5
stable,pr,0.010526315789473684,0.3333333333333333
stable,pr,0.010526315789473684,0.5
stable,pr,0.0,0.0
stable,pr,0.0,1.0
