precision,recall
0.3148936170212766,1.0
0.35443037974683544,0.3783783783783784
0.3424657534246575,0.33783783783783783
0.352112676056338,0.33783783783783783
0.35714285714285715,0.33783783783783783
0.35294117647058826,0.32432432432432434
0.3582089552238806,0.32432432432432434
0.36363636363636365,0.32432432432432434
0.36923076923076925,0.32432432432432434
0.375,0.32432432432432434
0.38095238095238093,0.32432432432432434
0.3870967741935484,0.32432432432432434
0.3770491803278688,0.3108108108108108
0.38333333333333336,0.3108108108108108
0.3898305084745763,0.3108108108108108
0.39655172413793105,0.3108108108108108
0.40350877192982454,0.3108108108108108
0.39285714285714285,0.2972972972972973
0.4,0.2972972972972973
0.4074074074074074,0.2972972972972973
0.39622641509433965,0.28378378378378377
0.40384615384615385,0.28378378378378377
0.4117647058823529,0.28378378378378377
0.42,0.28378378378378377
0.42857142857142855,0.28378378378378377
0.4166666666666667,0.2702702702702703
0.40425531914893614,0.25675675675675674
0.41304347826086957,0.25675675675675674
0.4,0.24324324324324326
0.38636363636363635,0.22972972972972974
0.37209302325581395,0.21621621621621623
0.35714285714285715,0.20270270270270271
0.36585365853658536,0.20270270270270271
0.35,0.1891891891891892
0.3333333333333333,0.17567567567567569
0.3157894736842105,0.16216216216216217
0.2972972972972973,0.14864864864864866
0.3055555555555556,0.14864864864864866
0.3142857142857143,0.14864864864864866
0.3235294117647059,0.14864864864864866
0.30303030303030304,0.13513513513513514
0.28125,0.12162162162162163
0.2903225806451613,0.12162162162162163
0.3,0.12162162162162163
0.3103448275862069,0.12162162162162163
0.32142857142857145,0.12162162162162163
0.2962962962962963,0.10810810810810811
0.3076923076923077,0.10810810810810811
0.32,0.10810810810810811
0.3333333333333333,0.10810810810810811
0.30434782608695654,0.0945945945945946
0.2727272727272727,0.08108108108108109
0.23809523809523808,0.06756756756756757
0.2,0.05405405405405406
0.21052631578947367,0.05405405405405406
0.16666666666666666,0.04054054054054054
0.17647058823529413,0.04054054054054054
0.125,0.02702702702702703
0.13333333333333333,0.02702702702702703
0.14285714285714285,0.02702702702702703
0.15384615384615385,0.02702702702702703
0.08333333333333333,0.013513513513513514
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,0.0
