fpr,tpr
0.0,0.0
0.0,0.05263157894736842
0.0,0.3157894736842105
0.02127659574468085,0.3157894736842105
0.02127659574468085,0.3684210526315789
0.06382978723404255,0.3684210526315789
0.06382978723404255,0.5263157894736842
0.10638297872340426,0.5263157894736842
0.10638297872340426,0.6842105263157895
0.425531914893617,0.6842105263157895
0.425531914893617,0.7894736842105263
0.5319148936170213,0.7894736842105263
0.5319148936170213,0.8421052631578947
0.6595744680851063,0.8421052631578947
0.6595744680851063,0.8947368421052632
0.723404255319149,0.8947368421052632
0.723404255319149,0.9473684210526315
0.8723404255319149,0.9473684210526315
0.8723404255319149,1.0
1.0,1.0
