precision,recall
0.2878787878787879,1.0
0.2923076923076923,1.0
0.296875,1.0
0.30158730158730157,1.0
0.3064516129032258,1.0
0.3114754098360656,1.0
0.31666666666666665,1.0
0.3050847457627119,0.9473684210526315
0.3103448275862069,0.9473684210526315
0.3157894736842105,0.9473684210526315
0.32142857142857145,0.9473684210526315
0.32727272727272727,0.9473684210526315
0.3333333333333333,0.9473684210526315
0.33962264150943394,0.9473684210526315
0.34615384615384615,0.9473684210526315
0.3333333333333333,0.8947368421052632
0.34,0.8947368421052632
0.3469387755102041,0.8947368421052632
0.3541666666666667,0.8947368421052632
0.3404255319148936,0.8421052631578947
0.34782608695652173,0.8421052631578947
0.35555555555555557,0.8421052631578947
0.36363636363636365,0.8421052631578947
0.37209302325581395,0.8421052631578947
0.38095238095238093,0.8421052631578947
0.3902439024390244,0.8421052631578947
0.375,0.7894736842105263
0.38461538461538464,0.7894736842105263
0.39473684210526316,0.7894736842105263
0.40540540540540543,0.7894736842105263
0.4166666666666667,0.7894736842105263
0.42857142857142855,0.7894736842105263
0.4117647058823529,0.7368421052631579
0.3939393939393939,0.6842105263157895
0.40625,0.6842105263157895
0.41935483870967744,0.6842105263157895
0.43333333333333335,0.6842105263157895
0.4482758620689655,0.6842105263157895
0.4642857142857143,0.6842105263157895
0.48148148148148145,0.6842105263157895
0.5,0.6842105263157895
0.52,0.6842105263157895
0.5416666666666666,0.6842105263157895
0.5652173913043478,0.6842105263157895
0.5909090909090909,0.6842105263157895
0.6190476190476191,0.6842105263157895
0.65,0.6842105263157895
0.6842105263157895,0.6842105263157895
0.7222222222222222,0.6842105263157895
0.7058823529411765,0.631578947368421
0.6875,0.5789473684210527
0.6666666666666666,0.5263157894736842
0.7142857142857143,0.5263157894736842
0.7692307692307693,0.5263157894736842
0.75,0.47368421052631576
0.7272727272727273,0.42105263157894735
0.7,0.3684210526315789
0.7777777777777778,0.3684210526315789
0.875,0.3684210526315789
0.8571428571428571,0.3157894736842105
1.0,0.3157894736842105
1.0,0.2631578947368421
1.0,0.21052631578947367
1.0,0.15789473684210525
1.0,0.10526315789473684
1.0,0.05263157894736842
1.0,0.0
