fpr,tpr
0.0,0.0
0.006211180124223602,0.0
0.006211180124223602,0.02702702702702703
0.012422360248447204,0.02702702702702703
0.012422360248447204,0.04054054054054054
0.049689440993788817,0.04054054054054054
0.049689440993788817,0.06756756756756757
0.06832298136645963,0.06756756756756757
0.06832298136645963,0.08108108108108109
0.10559006211180125,0.08108108108108109
0.10559006211180125,0.0945945945945946
0.14906832298136646,0.0945945945945946
0.14906832298136646,0.10810810810810811
0.17391304347826086,0.10810810810810811
0.17391304347826086,0.13513513513513514
0.18012422360248448,0.13513513513513514
0.18012422360248448,0.17567567567567569
0.18633540372670807,0.17567567567567569
0.18633540372670807,0.1891891891891892
0.19875776397515527,0.1891891891891892
0.19875776397515527,0.22972972972972974
0.20496894409937888,0.22972972972972974
0.20496894409937888,0.24324324324324326
0.2111801242236025,0.24324324324324326
0.2111801242236025,0.2702702702702703
0.21739130434782608,0.2702702702702703
0.21739130434782608,0.28378378378378377
0.2484472049689441,0.28378378378378377
0.2484472049689441,0.3108108108108108
0.2608695652173913,0.3108108108108108
0.2608695652173913,0.36486486486486486
0.2857142857142857,0.36486486486486486
0.2857142857142857,0.3918918918918919
0.36645962732919257,0.3918918918918919
0.36645962732919257,0.4189189189189189
0.37267080745341613,0.4189189189189189
0.37267080745341613,0.43243243243243246
0.391304347826087,0.43243243243243246
0.391304347826087,0.44594594594594594
0.422360248447205,0.44594594594594594
0.422360248447205,0.4594594594594595
0.42857142857142855,0.4594594594594595
0.42857142857142855,0.47297297297297297
0.5217391304347826,0.47297297297297297
0.5217391304347826,0.5
0.5341614906832298,0.5
0.5341614906832298,0.527027027027027
0.5590062111801242,0.527027027027027
0.5590062111801242,0.5540540540540541
0.5714285714285714,0.5540540540540541
0.5714285714285714,0.581081081081081
0.5900621118012422,0.581081081081081
0.5900621118012422,0.6081081081081081
0.6024844720496895,0.6081081081081081
0.6024844720496895,0.6486486486486487
0.6086956521739131,0.6486486486486487
0.6086956521739131,0.6621621621621622
0.6149068322981367,0.6621621621621622
0.6149068322981367,0.6756756756756757
0.639751552795031,0.6756756756756757
0.639751552795031,0.6891891891891891
0.6645962732919255,0.6891891891891891
0.6645962732919255,0.7027027027027027
0.6832298136645962,0.7027027027027027
0.6832298136645962,0.7162162162162162
0.7267080745341615,0.7162162162162162
0.7267080745341615,0.7432432432432432
0.7515527950310559,0.7432432432432432
0.7515527950310559,0.7837837837837838
0.7763975155279503,0.7837837837837838
0.7763975155279503,0.7972972972972973
0.7888198757763976,0.7972972972972973
0.7888198757763976,0.8378378378378378
0.8198757763975155,0.8378378378378378
0.8198757763975155,0.8513513513513513
0.8260869565217391,0.8513513513513513
0.8260869565217391,0.8648648648648649
0.8385093167701864,0.8648648648648649
0.8385093167701864,0.8783783783783784
0.84472049689441,0.8783783783783784
0.84472049689441,0.8918918918918919
0.8819875776397516,0.8918918918918919
0.8819875776397516,0.9054054054054054
0.9130434782608695,0.9054054054054054
0.9130434782608695,0.918918918918919
0.9254658385093167,0.918918918918919
0.9254658385093167,0.9324324324324325
0.9565217391304348,0.9324324324324325
0.9565217391304348,0.9459459459459459
0.9875776397515528,0.9459459459459459
0.9875776397515528,0.9594594594594594
1.0,0.9594594594594594
1.0,1.0
