fpr,tpr
0.0,0.0
0.0,0.05263157894736842
0.0,0.15789473684210525
0.02127659574468085,0.15789473684210525
0.02127659574468085,0.21052631578947367
0.0425531914893617,0.21052631578947367
0.0425531914893617,0.3157894736842105
0.06382978723404255,0.3157894736842105
0.06382978723404255,0.42105263157894735
0.10638297872340426,0.42105263157894735
0.10638297872340426,0.5263157894736842
0.14893617021276595,0.5263157894736842
0.14893617021276595,0.631578947368421
0.44680851063829785,0.631578947368421
0.44680851063829785,0.7368421052631579
0.48936170212765956,0.7368421052631579
0.48936170212765956,0.7894736842105263
0.6382978723404256,0.7894736842105263
0.6382978723404256,0.8421052631578947
0.7021276595744681,0.8421052631578947
0.7021276595744681,0.8947368421052632
0.7659574468085106,0.8947368421052632
0.7659574468085106,1.0
1.0,1.0
