fpr,tpr
0.0,0.0
0.006211180124223602,0.0
0.06832298136645963,0.0
0.06832298136645963,0.02702702702702703
0.08695652173913043,0.02702702702702703
0.08695652173913043,0.04054054054054054
0.09316770186335403,0.04054054054054054
0.09316770186335403,0.05405405405405406
0.09937888198757763,0.05405405405405406
0.09937888198757763,0.10810810810810811
0.11801242236024845,0.10810810810810811
0.11801242236024845,0.12162162162162163
0.14285714285714285,0.12162162162162163
0.14285714285714285,0.14864864864864866
0.16149068322981366,0.14864864864864866
0.16149068322981366,0.20270270270270271
0.16770186335403728,0.20270270270270271
0.16770186335403728,0.25675675675675674
0.17391304347826086,0.25675675675675674
0.17391304347826086,0.28378378378378377
0.19875776397515527,0.28378378378378377
0.19875776397515527,0.2972972972972973
0.2111801242236025,0.2972972972972973
0.2111801242236025,0.3108108108108108
0.2360248447204969,0.3108108108108108
0.2360248447204969,0.32432432432432434
0.2732919254658385,0.32432432432432434
0.2795031055900621,0.33783783783783783
0.2857142857142857,0.33783783783783783
0.2981366459627329,0.33783783783783783
0.3167701863354037,0.3783783783783784
1.0,1.0
