class,curve,x,y
decrease,roc,0.0,0.0
decrease,roc,0.025,0.0
decrease,roc,0.025,0.11538461538461539
decrease,roc,0.075,0.11538461538461539
decrease,roc,0.075,0.15384615384615385
decrease,roc,0.1,0.15384615384615385
decrease,roc,0.1,0.19230769230769232
decrease,roc,0.15,0.19230769230769232
decrease,roc,0.15,0.4230769230769231
decrease,roc,0.2,0.4230769230769231
decrease,roc,0.2,0.46153846153846156
decrease,roc,0.275,0.46153846153846156
decrease,roc,0.275,0.5
decrease,roc,0.3,0.5
decrease,roc,0.3,0.6923076923076923
decrease,roc,0.375,0.6923076923076923
decrease,roc,0.375,0.7307692307692307
decrease,roc,0.45,0.7307692307692307
decrease,roc,0.45,0.8076923076923077
decrease,roc,0.475,0.8076923076923077
decrease,roc,0.475,0.8461538461538461
decrease,roc,0.575,0.8461538461538461
decrease,roc,0.575,0.8846153846153846
decrease,roc,0.75,0.8846153846153846
decrease,roc,0.75,0.9230769230769231
decrease,roc,0.8,0.9230769230769231
decrease,roc,0.8,0.9615384615384616
decrease,roc,0.825,0.9615384615384616
decrease,roc,0.825,1.0
decrease,roc,1.0,1.0
decrease,pr,1.0,0.3939393939393939
decrease,pr,1.0,0.4
decrease,pr,1.0,0.40625
decrease,pr,1.0,0.4126984126984127
decrease,pr,1.0,0.41935483870967744
decrease,pr,1.0,0.4262295081967213
decrease,pr,1.0,0.43333333333333335
decrease,pr,1.0,0.4406779661016949
decrease,pr,0.9615384615384616,0.43103448275862066
decrease,pr,0.9615384615384616,0.43859649122807015
decrease,pr,0.9230769230769231,0.42857142857142855
decrease,pr,0.9230769230769231,0.43636363636363634
decrease,pr,0.9230769230769231,0.4444444444444444
decrease,pr,0.8846153846153846,0.4339622641509434
decrease,pr,0.8846153846153846,0.4423076923076923
decrease,pr,0.8846153846153846,0.45098039215686275
decrease,pr,0.8846153846153846,0.46
decrease,pr,0.8846153846153846,0.46938775510204084
decrease,pr,0.8846153846153846,0.4791666666666667
decrease,pr,0.8846153846153846,0.48936170212765956
decrease,pr,0.8846153846153846,0.5
decrease,pr,0.8461538461538461,0.4888888888888889
decrease,pr,0.8461538461538461,0.5
decrease,pr,0.8461538461538461,0.5116279069767442
decrease,pr,0.8461538461538461,0.5238095238095238
decrease,pr,0.8461538461538461,0.5365853658536586
decrease,pr,0.8076923076923077,0.525
decrease,pr,0.8076923076923077,0.5384615384615384
decrease,pr,0.7692307692307693,0.5263157894736842
