fpr,tpr
0.0,0.0
0.02127659574468085,0.0
0.02127659574468085,0.15789473684210525
0.0425531914893617,0.15789473684210525
0.0425531914893617,0.2631578947368421
0.0851063829787234,0.2631578947368421
0.0851063829787234,0.42105263157894735
0.1702127659574468,0.42105263157894735
0.1702127659574468,0.5263157894736842
0.2127659574468085,0.5263157894736842
0.2127659574468085,0.5789473684210527
0.23404255319148937,0.5789473684210527
0.23404255319148937,0.631578947368421
0.3404255319148936,0.631578947368421
0.3404255319148936,0.6842105263157895
0.5319148936170213,0.6842105263157895
0.5319148936170213,0.7368421052631579
0.5531914893617021,0.7368421052631579
0.5531914893617021,0.7894736842105263
0.6170212765957447,0.7894736842105263
0.6170212765957447,0.8421052631578947
0.6595744680851063,0.8421052631578947
0.6595744680851063,0.8947368421052632
0.9148936170212766,0.8947368421052632
0.9148936170212766,0.9473684210526315
0.9361702127659575,0.9473684210526315
0.9361702127659575,1.0
1.0,1.0
