class,curve,x,y
A,roc,0.0,0.0
A,roc,0.0,0.009259259259259259
A,roc,0.0,0.037037037037037035
A,roc,0.015151515151515152,0.037037037037037035
A,roc,0.015151515151515152,0.05555555555555555
A,roc,0.01893939393939394,0.05555555555555555
A,roc,0.01893939393939394,0.06481481481481481
A,roc,0.022727272727272728,0.06481481481481481
A,roc,0.022727272727272728,0.07407407407407407
A,roc,0.026515151515151516,0.07407407407407407
A,roc,0.026515151515151516,0.08333333333333333
A,roc,0.030303030303030304,0.08333333333333333
A,roc,0.030303030303030304,0.10185185185185185
A,roc,0.03409090909090909,0.10185185185185185
A,roc,0.03409090909090909,0.1111111111111111
A,roc,0.05303030303030303,0.1111111111111111
A,roc,0.05303030303030303,0.12962962962962962
A,roc,0.06060606060606061,0.12962962962962962
A,roc,0.06060606060606061,0.1388888888888889
A,roc,0.06439393939393939,0.1388888888888889
A,roc,0.06439393939393939,0.1574074074074074
A,roc,0.07196969696969698,0.1574074074074074
A,roc,0.07196969696969698,0.16666666666666666
A,roc,0.07575757575757576,0.16666666666666666
A,roc,0.07575757575757576,0.18518518518518517
A,roc,0.07954545454545454,0.18518518518518517
A,roc,0.07954545454545454,0.19444444444444445
A,roc,0.08333333333333333,0.19444444444444445
A,roc,0.08333333333333333,0.2222222222222222
A,roc,0.08712121212121213,0.2222222222222222
A,roc,0.08712121212121213,0.23148148148148148
A,roc,0.09090909090909091,0.23148148148148148
A,roc,0.09090909090909091,0.24074074074074073
A,roc,0.11363636363636363,0.24074074074074073
A,roc,0.11363636363636363,0.25
A,roc,0.11742424242424243,0.25
A,roc,0.11742424242424243,0.26851851851851855
A,roc,0.12121212121212122,0.26851851851851855
A,roc,0.12121212121212122,0.2777777777777778
A,roc,0.15151515151515152,0.2777777777777778
A,roc,0.15151515151515152,0.28703703703703703
A,roc,0.17045454545454544,0.28703703703703703
A,roc,0.17045454545454544,0.3055555555555556
A,roc,0.17803030303030304,0.3055555555555556
A,roc,0.17803030303030304,0.3333333333333333
A,roc,0.20833333333333334,0.3333333333333333
A,roc,0.20833333333333334,0.3425925925925926
A,roc,0.22727272727272727,0.3425925925925926
A,roc,0.22727272727272727,0.35185185185185186
A,roc,0.23106060606060605,0.35185185185185186
A,roc,0.23106060606060605,0.3611111111111111
A,roc,0.25,0.3611111111111111
A,roc,0.25,0.37962962962962965
A,roc,0.2727272727272727,0.37962962962962965
A,roc,0.2727272727272727,0.3888888888888889
A,roc,0.29545454545454547,0.3888888888888889
A,roc,0.29545454545454547,0.4166666666666667
A,roc,0.29924242424242425,0.4166666666666667
A,roc,0.29924242424242425,0.42592592592592593
A,roc,0.3106060606060606,0.42592592592592593
A,roc,0.3106060606060606,0.4351851851851852
A,roc,0.32575757575757575,0.4351851851851852
A,roc,0.32575757575757575,0.4444444444444444
A,roc,0.32954545454545453,0.4444444444444444
A,roc,0.32954545454545453,0.46296296296296297
A,roc,0.3446969696969697,0.46296296296296297
A,roc,0.3446969696969697,0.49074074074074076
A,roc,0.3522727272727273,0.49074074074074076
A,roc,0.3522727272727273,0.5092592592592593
A,roc,0.3560606060606061,0.5092592592592593
A,roc,0.3560606060606061,0.5185185185185185
A,roc,0.35984848484848486,0.5185185185185185
A,roc,0.35984848484848486,0.5277777777777778
A,roc,0.36363636363636365,0.5277777777777778
A,roc,0.36363636363636365,0.5462962962962963
A,roc,0.36742424242424243,0.5462962962962963
A,roc,0.36742424242424243,0.5648148148148148
A,roc,0.4053030303030303,0.5648148148148148
A,roc,0.4053030303030303,0.5925925925925926
A,roc,0.4090909090909091,0.5925925925925926
A,roc,0.4090909090909091,0.6018518518518519
A,roc,0.4128787878787879,0.6018518518518519
A,roc,0.4128787878787879,0.6111111111111112
A,roc,0.4166666666666667,0.6111111111111112
A,roc,0.4166666666666667,0.6203703703703703
A,roc,0.42045454545454547,0.6203703703703703
A,roc,0.42045454545454547,0.6481481481481481
A,roc,0.4318181818181818,0.6481481481481481
A,roc,0.4318181818181818,0.6666666666666666
A,roc,0.45454545454545453,0.6666666666666666
A,roc,0.45454545454545453,0.6759259259259259
A,roc,0.4772727272727273,0.6759259259259259
A,roc,0.4772727272727273,0.6851851851851852
A,roc,0.5,0.6851851851851852
A,roc,0.5,0.7037037037037037
A,roc,0.5075757575757576,0.7037037037037037
A,roc,0.5075757575757576,0.7129629629629629
A,roc,0.5113636363636364,0.7129629629629629
A,roc,0.5113636363636364,0.7222222222222222
A,roc,0.5151515151515151,0.7222222222222222
A,roc,0.5303030303030303,0.7314814814814815
A,roc,0.7121212121212122,0.9444444444444444
A,roc,0.7121212121212122,0.9537037037037037
A,roc,0.7159090909090909,0.9537037037037037
A,roc,0.7159090909090909,0.9629629629629629
A,roc,0.7234848484848485,0.9629629629629629
A,roc,0.7234848484848485,0.9814814814814815
A,roc,0.7272727272727273,0.9814814814814815
A,roc,0.7272727272727273,1.0
A,roc,1.0,1.0
A,pr,1.0,0.2903225806451613
A,pr,1.0,0.29110512129380056
A,pr,1.0,0.2918918918918919
A,pr,1.0,0.2926829268292683
A,pr,1.0,0.29347826086956524
A,pr,1.0,0.29427792915531337
A,pr,1.0,0.29508196721311475
A,pr,1.0,0.2958904109589041
A,pr,1.0,0.2967032967032967
A,pr,1.0,0.2975206611570248
A,pr,1.0,0.2983425414364641
A,pr,1.0,0.29916897506925205
A,pr,1.0,0.3
A,pr,1.0,0.3008356545961003
A,pr,1.0,0.3016759776536313
A,pr,1.0,0.3025210084033613
A,pr,1.0,0.30337078651685395
A,pr,1.0,0.30422535211267604
A,pr,1.0,0.3050847457627119
A,pr,1.0,0.3059490084985836
A,pr,1.0,0.3068181818181818
A,pr,1.0,0.3076923076923077
A,pr,1.0,0.30857142857142855
A,pr,1.0,0.30945558739255014
A,pr,1.0,0.3103448275862069
A,pr,1.0,0.3112391930835735
A,pr,1.0,0.31213872832369943
A,pr,1.0,0.3130434782608696
A,pr,1.0,0.313953488372093
A,pr,1.0,0.31486880466472306
A,pr,1.0,0.3157894736842105
A,pr,1.0,0.31671554252199413
A,pr,1.0,0.3176470588235294
