fpr,tpr
0.0,0.0
0.0,0.05263157894736842
0.0,0.47368421052631576
0.02127659574468085,0.47368421052631576
0.02127659574468085,0.5789473684210527
0.0425531914893617,0.5789473684210527
0.0425531914893617,0.6842105263157895
0.14893617021276595,0.6842105263157895
0.14893617021276595,0.7894736842105263
0.3617021276595745,0.7894736842105263
0.3617021276595745,0.8421052631578947
0.6170212765957447,0.8421052631578947
0.6170212765957447,0.8947368421052632
0.723404255319149,0.8947368421052632
0.723404255319149,0.9473684210526315
0.7446808510638298,0.9473684210526315
0.7446808510638298,1.0
1.0,1.0
