iteration,train,valid,metric
1,0.12401628197343668,0.07713424743091339,rmse
2,0.12134099408253096,0.0746242278098207,rmse
3,0.11857986067738888,0.07184930485012443,rmse
4,0.11603057828033222,0.06874566660925999,rmse
5,0.1139005934692287,0.06631545479944277,rmse
6,0.11170334673587168,0.06345116596550035,rmse
7,0.10964654164959937,0.06085082852761439,rmse
8,0.10774077632909036,0.05868230989788103,rmse
9,0.10600277188835125,0.05662561273190294,rmse
10,0.10439317501100076,0.0544749759338603,rmse
11,0.10290137023734096,0.05247682101354351,rmse
12,0.10142702266127045,0.05058932952488652,rmse
13,0.10011539506764197,0.0488917305578085,rmse
14,0.09895352756729744,0.04721602039769301,rmse
15,0.09777540890696748,0.04597845287931024,rmse
16,0.09670762294544079,0.04454552493225757,rmse
17,0.09573927031950237,0.04289443388872378,rmse
18,0.09483344679365228,0.0415432576599458,rmse
19,0.0940774796377371,0.04049854209922076,rmse
20,0.09332332138514461,0.04006214775512279,rmse
21,0.09255326600641818,0.03870688046516833,rmse
22,0.09187548923626862,0.03753006138702913,rmse
23,0.0911579668144801,0.03652143480575223,rmse
24,0.09054967204602536,0.03584392703132319,rmse
25,0.0899551706616707,0.03501109205361359,rmse
26,0.0893890799882618,0.0342407473547392,rmse
27,0.08888798510601902,0.03365570685708069,rmse
28,0.08837732091461818,0.03309543698904463,rmse
29,0.08791032768180389,0.03250461073158117,rmse
30,0.08748498088528914,0.03202478789019526,rmse
31,0.08703621962295661,0.03167443256057832,rmse
32,0.08663373241819133,0.03134267714837144,rmse
33,0.08630867863990292,0.03093687277917053,rmse
34,0.08595029823120595,0.03061233296658241,rmse
35,0.08561055254526123,0.03013880524825004,rmse
36,0.08524602803442226,0.0297149476769957,rmse
37,0.08490609928821623,0.02954391044786989,rmse
38,0.08459627900990926,0.02916561494568303,rmse
39,0.08429678593552152,0.0288711999598396,rmse
40,0.08404700585559394,0.02862611685385813,rmse
41,0.08380732935300575,0.02821904780841753,rmse
42,0.08360792584914747,0.02789492441231844,rmse
43,0.08343255249792236,0.02768420489099711,rmse
44,0.0832063803043645,0.02753318430906354,rmse
45,0.08299327566452429,0.02738751754847907,rmse
46,0.08274259122779794,0.02722723362843415,rmse
47,0.08243633887402571,0.02694798233537973,rmse
48,0.08220590883797375,0.02682831870027515,rmse
49,0.08199979937063744,0.02673246535303991,rmse
50,0.08177652497882719,0.02667781521115736,rmse
51,0.08156017569563434,0.0264936805299331,rmse
52,0.08137844846875755,0.02642219467298437,rmse
53,0.08124736030148803,0.02629421672967251,rmse
54,0.08110462460066714,0.02622773465121084,rmse
55,0.08094516088907604,0.02621893061973937,rmse
56,0.08077286443504648,0.02608850778469019,rmse
57,0.08060248842413507,0.0260714752151913,rmse
58,0.08040419943859996,0.02592756070237879,rmse
59,0.08025597971603521,0.02589156982969231,rmse
60,0.08010099570590656,0.02577852149255816,rmse
61,0.07994059320514184,0.02571065036386231,rmse
62,0.07977421895054694,0.02570406926689739,rmse
63,0.07960183327291048,0.02563970147720424,rmse
64,0.07947420879009594,0.0255589126843539,rmse
65,0.07935554846372365,0.02553628918972374,rmse
66,0.07923662710298673,0.02553886923386986,rmse
67,0.07910896630535075,0.02544605024173071,rmse
68,0.0790027516732278,0.02539293893381591,rmse
69,0.07890865275635486,0.02530936540366388,rmse
70,0.07878545029769495,0.02525483030786511,rmse
71,0.07867978333287427,0.02518278889095248,rmse
72,0.0785229395854602,0.02517567660118398,rmse
73,0.07841542766906717,0.02506454797744207,rmse
74,0.07829516630915086,0.02504688071911881,rmse
75,0.07821682812136217,0.02505052977817004,rmse
76,0.07811122889150772,0.02504655994465448,rmse
77,0.07801125753471455,0.0250276053573365,rmse
78,0.07792279894371446,0.02501917922995738,rmse
79,0.07782223726700131,0.02500247233957706,rmse
80,0.07770893263777615,0.02500406021771573,rmse
81,0.07762989069810684,0.02492230615247405,rmse
82,0.07751604878399843,0.02483533038012608,rmse
83,0.07740082608111451,0.02465798210629013,rmse
84,0.07728422829938283,0.02466054526129653,rmse
85,0.07724260708473477,0.02465005358926742,rmse
86,0.07715970723538407,0.02465230674913571,rmse
87,0.0770937473095936,0.02459267504437919,rmse
88,0.07703042888220102,0.02459771363489876,rmse
89,0.07693573164565656,0.0245836721427047,rmse
90,0.07688725447354779,0.02453807610560156,rmse
91,0.07678955386628004,0.02452613355390001,rmse
92,0.0766480477926641,0.02449962838645331,rmse
93,0.07657542597168325,0.02449522766952732,rmse
94,0.07654486724230694,0.02449819361552896,rmse
95,0.0765182507734803,0.02449932725177648,rmse
96,0.07636470008588897,0.02449285769320749,rmse
97,0.07628506349440299,0.02449382070393598,rmse
98,0.07619468432550112,0.02444961137666949,rmse
99,0.07610179937799849,0.02445169649515851,rmse
100,0.07604936857050114,0.02445243363800936,rmse
